issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
Federal Home Loan Mortgage Corp.,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,-447.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Santander UK Group Holdings PLC,Investment Grade,331.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Chevy Chase Funding Llc,Below Investment Grade,271.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Wells Fargo & Co.,Investment Grade,-12.0,Bond - Corporate Bond,Corporate Bond,Developed
Williams Partners L.P.,Investment Grade,91.0,Bond - Corporate Bond,Corporate Bond,Developed
Berkshire Hathaway Energy Company,Investment Grade,124.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,-105.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,92.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Alternative Loan Trust,Below Investment Grade,297.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,52.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,52.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,72.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,23.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,0.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-296.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,91.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,62.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,63.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,33.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,0.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,92.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,574557.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,254.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Citigroup Inc.,Investment Grade,146.0,Bond - Corporate Bond,Corporate Bond,Developed
CSMC TRUST,,,Bond - Asset Backed,Asset Backed,Developed
MHC COMMERCIAL MORTGAGE TRUST 2021-MHC,,1051.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,137.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
AbbVie Inc.,Investment Grade,82.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,23.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,90.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-403.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,107.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
"Residential Asset Mortgage Products, Inc.",Below Investment Grade,6522.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-190.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,70.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,34.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,37.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Csmc,Investment Grade,-52.0,Bond - Asset Backed,Asset Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,322.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Freeport-McMoRan Inc.,Below Investment Grade,93.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Broadcom Inc,Investment Grade,125.0,Bond - Corporate Bond,Corporate Bond,Developed
Government National Mortgage Association,Investment Grade,223.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,22.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,81.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,61.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,83.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,110.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,382.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
,,,Bond - Option (Put),,
Federal National Mortgage Association,Investment Grade,,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,55.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
ML CFC Commercial Mortgage Trust,Below Investment Grade,,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,71.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,102.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,345.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-496.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,356.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,35.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,91.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,98.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,94.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,37.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,52.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,95.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,119.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,-226.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,52.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,73.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,40.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,66.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,38.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
"Residential Asset Mortgage Products, Inc.",Below Investment Grade,2911.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,29.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,-479.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,110.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,62.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Comcast Corporation,Investment Grade,89.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal National Mortgage Association,Investment Grade,61.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Mastr Adjustable Rate Mortgages Trust,Investment Grade,381.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,56.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,120.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Harborview Mtg L04,,1033.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,114.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
,Below Investment Grade,,Bond - Bank Loans,Bank Loan,
Structured Asset M,Below Investment Grade,323.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,130.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Mastr Adjustable Rate Mortgages Trust,Below Investment Grade,395.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,76.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Occidental Petroleum Corporation,Below Investment Grade,204.0,Bond - Corporate Bond,Corporate Bond,Developed
Government National Mortgage Association,Investment Grade,87.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,267.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,105.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,67.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,73.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Indymac MBS Inc,Below Investment Grade,1802.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,79.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,91.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,119.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,137.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,100.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,720.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,81.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,105.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,22.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,422.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Verizon Communications Inc.,Investment Grade,98.0,Bond - Corporate Bond,Corporate Bond,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,266.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,447.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,104.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,3957.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,73.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,133.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,-32.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Structured Asset Mortgage Investments Inc,Investment Grade,364.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,61.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,122.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,42.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,84.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,58.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,107.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,102.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,24.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Merrill Lynch Cntr,Below Investment Grade,0.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,-413.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,76.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Morgan Stanley ABS Capital I Inc,Investment Grade,306.0,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,863.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,35.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,101.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,142.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,129.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,74.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,17.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,65.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,-425.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Citigroup Mortgage Loan Trust,,464.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,148.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Wf-Rbs Com Mg Tst,Investment Grade,67284.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,121.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,93.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,102.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Nomura Asset Acceptance Corp Alt Ln tr,Below Investment Grade,3299.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,19.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-150.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,49.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Structured Asset Securities Corp.,Below Investment Grade,547.0,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,124.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,104.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,34.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,96.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,90.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,23.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,37.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-169.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,468.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,83.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,86.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,86.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,54.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Bausch Health Companies Inc.,Below Investment Grade,2817.0,Bond - Capital Contingent Debt,Corporate Bond,Developed
Government National Mortgage Association,Investment Grade,13950.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,144.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,55.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,104.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,123.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Lennar Corp.,Investment Grade,79.0,Bond - Corporate Bond,Corporate Bond,Developed
